what,kind,bundleId,bundleVersion,description,time
started,bundle,net.sf.eclipsecs.ui,5.5.0.201111092104,"net.sf.eclipsecs.ui",1337894717390
started,bundle,com.vaadin.integration.eclipse,2.0.1.201105170102,"com.vaadin.integration.eclipse",1337894717390
os,sysinfo,,,"win32",1337894717395
arch,sysinfo,,,"x86_64",1337894717395
ws,sysinfo,,,"win32",1337894717395
locale,sysinfo,,,"de_DE",1337894717395
processors,sysinfo,,,"4",1337894717395
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1337894717395
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1337894717395
java.specification.name,sysinfo,,,"Java Platform API Specification",1337894717395
java.specification.vendor,sysinfo,,,"Oracle Corporation",1337894717395
java.specification.version,sysinfo,,,"1.7",1337894717395
java.vendor,sysinfo,,,"Oracle Corporation",1337894717395
java.version,sysinfo,,,"1.7.0_01",1337894717395
java.vm.info,sysinfo,,,"mixed mode",1337894717395
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1337894717395
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1337894717395
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1337894717395
java.vm.specification.version,sysinfo,,,"1.7",1337894717395
java.vm.vendor,sysinfo,,,"Oracle Corporation",1337894717395
java.vm.version,sysinfo,,,"21.1-b02",1337894717395
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1337894717593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337894717869
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337894722030
started,bundle,org.eclipse.wst.server.core,1.1.303.v20110816_1717,"org.eclipse.wst.server.core",1337894722031
started,bundle,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui",1337894722484
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337894751577
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337894751696
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1337894751943
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1337894752008
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1337894752012
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1337894752225
stopped,bundle,org.eclipse.emf.eef.codegen.ecore,1.0.1.v20110912-0930,"org.eclipse.emf.eef.codegen.ecore",1337894752225
stopped,bundle,org.eclipse.emf.eef.codegen,1.0.1.v20110912-0930,"org.eclipse.emf.eef.codegen",1337894752225
stopped,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1337894752226
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1337894752226
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20110516,"org.eclipse.pde.ds.ui",1337894752226
stopped,bundle,com.soyatec.database,3.7.1.20110624,"com.soyatec.database",1337894752226
stopped,bundle,com.soyatec.edepend,3.7.1.20110624,"com.soyatec.edepend",1337894752226
stopped,bundle,com.soyatec.eemf,3.7.1.20110624,"com.soyatec.eemf",1337894752226
stopped,bundle,com.soyatec.euml2,3.7.1.20110624,"com.soyatec.euml2",1337894752226
stopped,bundle,com.soyatec.project.diagram,3.7.1.20110624,"com.soyatec.project.diagram",1337894752226
stopped,bundle,com.soyatec.project,3.7.1.20110624,"com.soyatec.project",1337894752227
stopped,bundle,com.soyatec.additional,3.7.1.20110624,"com.soyatec.additional",1337894752227
stopped,bundle,com.soyatec.core,3.7.1.20110624,"com.soyatec.core",1337894752227
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110819-0851,"org.eclipse.pde.runtime",1337894752227
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1337894752227
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110516,"org.eclipse.pde.ui.templates",1337894752227
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1337894752230
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1337894752230
